transaction_id,risk_score,risk_level,explanation
TXN-0001,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0002,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0003,30,LOW,Risky transaction type (TRANSFER); Entire origin balance drained to zero; Destination account had zero prior balance (new/unseen account)
TXN-0004,30,LOW,Risky transaction type (CASH_OUT); Entire origin balance drained to zero
TXN-0005,20,LOW,"High transaction amount (11,668.14 > 10,000); Destination account had zero prior balance (new/unseen account)"
TXN-0006,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0007,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0008,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0009,25,LOW,"Entire origin balance drained to zero; Destination account had zero prior balance (new/unseen account); Transaction amount (4,024.36) exceeds origin balance (2,671.00)"
TXN-0010,0,LOW,No significant risk signals detected
TXN-0011,20,LOW,"Entire origin balance drained to zero; Transaction amount (9,644.94) exceeds origin balance (4,465.00)"
TXN-0012,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0013,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0014,40,MEDIUM,"High transaction amount (11,633.76 > 10,000); Entire origin balance drained to zero; Destination account had zero prior balance (new/unseen account); Transaction amount (11,633.76) exceeds origin balance (10,127.00)"
TXN-0015,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0016,65,MEDIUM,"Very high transaction amount (229,133.94 > 100,000); Risky transaction type (CASH_OUT); Entire origin balance drained to zero; Transaction amount (229,133.94) exceeds origin balance (15,325.00)"
TXN-0017,25,LOW,"Entire origin balance drained to zero; Destination account had zero prior balance (new/unseen account); Transaction amount (1,563.82) exceeds origin balance (450.00)"
TXN-0018,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0019,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0020,60,MEDIUM,"Very high transaction amount (215,310.30 > 100,000); Risky transaction type (TRANSFER); Entire origin balance drained to zero; Transaction amount (215,310.30) exceeds origin balance (705.00)"
TXN-0021,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0022,0,LOW,No significant risk signals detected
TXN-0023,0,LOW,No significant risk signals detected
TXN-0024,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0025,60,MEDIUM,"Very high transaction amount (311,685.89 > 100,000); Risky transaction type (TRANSFER); Entire origin balance drained to zero; Transaction amount (311,685.89) exceeds origin balance (10,835.00)"
TXN-0026,25,LOW,"Entire origin balance drained to zero; Destination account had zero prior balance (new/unseen account); Transaction amount (6,061.13) exceeds origin balance (443.00)"
TXN-0027,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0028,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0029,25,LOW,"Entire origin balance drained to zero; Destination account had zero prior balance (new/unseen account); Transaction amount (8,901.99) exceeds origin balance (2,958.91)"
TXN-0030,15,LOW,Origin account has zero balance but initiated a transaction; Destination account had zero prior balance (new/unseen account)
TXN-0031,15,LOW,Origin account has zero balance but initiated a transaction; Destination account had zero prior balance (new/unseen account)
TXN-0032,15,LOW,Origin account has zero balance but initiated a transaction; Destination account had zero prior balance (new/unseen account)
TXN-0033,15,LOW,Origin account has zero balance but initiated a transaction; Destination account had zero prior balance (new/unseen account)
TXN-0034,15,LOW,Origin account has zero balance but initiated a transaction; Destination account had zero prior balance (new/unseen account)
TXN-0035,15,LOW,Origin account has zero balance but initiated a transaction; Destination account had zero prior balance (new/unseen account)
TXN-0036,30,LOW,"High transaction amount (24,213.67 > 10,000); Origin account has zero balance but initiated a transaction; Destination account had zero prior balance (new/unseen account)"
TXN-0037,25,LOW,"Entire origin balance drained to zero; Destination account had zero prior balance (new/unseen account); Transaction amount (8,603.42) exceeds origin balance (253.00)"
TXN-0038,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0039,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0040,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0041,25,LOW,"Entire origin balance drained to zero; Destination account had zero prior balance (new/unseen account); Transaction amount (1,684.81) exceeds origin balance (297.00)"
TXN-0042,0,LOW,No significant risk signals detected
TXN-0043,73,HIGH,"Very high transaction amount (110,414.71 > 100,000); Risky transaction type (CASH_OUT); Repeated destination account C1509514333 (2 incoming transactions); Entire origin balance drained to zero; Transaction amount (110,414.71) exceeds origin balance (26,845.41)"
TXN-0044,25,LOW,"Entire origin balance drained to zero; Destination account had zero prior balance (new/unseen account); Transaction amount (7,823.46) exceeds origin balance (998.00)"
TXN-0045,15,LOW,Origin account has zero balance but initiated a transaction; Destination account had zero prior balance (new/unseen account)
TXN-0046,5,LOW,Destination account had zero prior balance (new/unseen account)
TXN-0047,20,LOW,"High transaction amount (13,875.98 > 10,000); Destination account had zero prior balance (new/unseen account)"
TXN-0048,55,MEDIUM,"High transaction amount (56,953.90 > 10,000); Risky transaction type (CASH_OUT); Entire origin balance drained to zero; Transaction amount (56,953.90) exceeds origin balance (1,942.02)"
